"","user","deci","sex","age","kno1","kno2","kno3","kno4","kno5","kno6","kno7","kno8","inno","att1","att2","att3","att4","att5","att6","att7","att8","interest"
"1",2,2,3,43,1,1,1,1,1,1,1,1,3,2,3,3,1,3,3,3,3,2
"2",2,2,3,51,1,1,1,1,1,1,1,1,5,4,4,3,3,2,2,2,1,1
"3",2,2,2,28,4,4,4,4,2,3,4,2,2,2,5,5,3,4,5,4,4,4
"4",2,2,3,32,1,1,1,1,1,1,1,1,4,3,4,4,4,5,5,4,3,3
"5",2,2,2,38,4,4,4,3,3,3,3,4,1,4,4,4,3,5,5,5,3,4
"6",2,2,2,51,1,1,1,1,1,1,1,1,2,5,5,3,2,5,5,5,4,5
"7",2,2,3,19,1,2,2,2,2,2,2,1,3,2,2,3,2,3,4,3,3,1
"8",2,2,2,37,1,1,1,1,1,1,1,1,5,4,4,4,4,5,5,5,5,3
"9",3,4,2,32,3,1,3,3,3,3,3,3,1,2,4,4,4,4,4,4,3,3
"10",2,2,3,62,1,1,2,1,1,1,1,1,4,3,4,4,2,4,4,3,3,3
"11",2,2,2,44,5,2,2,3,3,2,2,2,2,5,5,5,5,5,5,5,5,3
"12",2,2,3,24,5,5,4,4,5,5,5,5,2,5,5,5,5,5,5,5,5,1
"13",2,2,2,43,4,3,4,3,3,3,4,4,1,4,5,5,4,4,4,4,5,4
"14",3,2,2,29,4,1,2,1,3,2,1,2,3,4,5,5,4,4,4,3,3,2
"15",2,2,2,37,1,1,1,1,1,1,1,1,5,4,2,4,4,4,4,4,2,2
"16",1,2,3,25,2,1,1,1,3,1,1,1,4,2,5,5,5,4,4,5,3,3
"17",2,2,3,30,1,1,1,1,1,1,1,1,5,3,3,3,3,3,3,3,3,1
"18",5,3,2,40,4,4,3,3,5,3,5,2,3,2,3,5,3,2,5,5,3,3
"19",2,2,3,36,3,2,2,2,2,2,2,1,3,3,3,3,3,3,4,3,3,2
"20",1,2,3,40,2,2,3,2,2,2,2,2,4,4,4,4,3,4,5,5,4,2
"21",2,2,3,35,1,1,1,1,1,1,1,1,4,3,4,5,4,5,4,4,3,3
"22",2,2,2,47,3,1,5,5,5,5,5,1,3,1,1,1,1,3,1,1,1,1
"23",2,2,3,31,2,1,1,1,1,1,2,1,5,3,4,4,2,5,4,4,5,3
"24",2,2,3,27,2,3,4,3,4,4,4,4,4,3,5,3,4,3,4,4,4,3
"25",2,2,2,60,2,1,1,1,2,1,1,1,4,2,5,5,2,3,5,5,3,3
"26",1,2,3,35,1,1,1,1,1,1,1,1,3,3,4,3,3,4,4,4,4,4
"27",2,2,3,37,1,1,1,1,1,1,1,1,5,3,4,4,3,4,4,3,3,2
"28",2,2,3,45,3,4,4,4,4,4,4,3,2,4,3,4,3,4,4,4,4,2
"29",2,2,3,69,3,2,3,3,3,4,3,3,4,3,3,3,3,4,4,4,4,3
"30",5,3,2,42,3,3,3,3,4,4,4,2,3,2,4,4,4,3,4,4,3,3
"31",4,2,2,37,1,1,1,1,1,1,1,1,1,4,4,5,5,4,4,4,1,3
"32",2,2,3,65,1,1,1,1,1,1,1,1,5,4,5,5,4,5,4,5,3,2
"33",2,2,2,50,4,4,4,4,4,4,4,3,3,4,4,4,3,4,4,4,3,2
"34",2,2,3,47,2,2,2,2,2,2,2,2,3,2,3,3,3,4,4,4,3,3
"35",1,2,3,25,5,5,5,3,4,3,5,4,4,4,4,4,3,4,4,5,5,4
"36",1,2,3,30,1,1,1,1,1,1,1,1,5,2,2,1,2,1,2,3,3,1
"37",1,2,3,35,1,1,1,1,1,1,1,1,4,3,3,2,2,2,4,4,2,4
"38",2,2,3,57,2,1,1,1,1,1,1,1,3,3,3,4,4,5,5,5,2,3
"39",2,2,2,59,3,1,1,1,1,1,1,1,3,2,5,5,4,5,5,5,4,5
"40",3,2,2,54,4,3,4,4,4,4,4,3,3,4,5,5,4,4,5,4,4,1
"41",1,2,2,26,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,4,3
"42",1,2,3,43,1,1,1,1,1,1,1,1,4,1,5,5,3,5,4,5,4,1
