id,user,deci,sex,age,kno1,kno2,kno3,kno4,kno5,kno6,kno7,kno8,inno,att1,att2,att3,att4,att5,att6,att7,att8,interest,re_att1,re_att2,re_att3,re_att4,re_att5,re_att6,re_att7,re_att8,re_kno1,re_kno2,re_kno3,re_kno4,re_kno5,re_kno6,re_kno7,re_kno8,attitude,knowledge
1,regular residence,2,female,43,1,1,1,1,1,1,1,1,early majority,2,3,3,1,3,3,3,3,probably not,1,2,2,0,2,2,2,2,0,0,0,0,0,0,0,0,1.625,0
2,regular residence,2,female,51,1,1,1,1,1,1,1,1,laggards,4,4,3,3,2,2,2,1,definitely not,3,3,2,2,1,1,1,0,0,0,0,0,0,0,0,0,1.625,0
3,regular residence,2,male,28,4,4,4,4,2,3,4,2,early adopters,2,5,5,3,4,5,4,4,likely to,1,4,4,2,3,4,3,3,3,3,3,3,1,2,3,1,3,2.375
4,regular residence,2,female,32,1,1,1,1,1,1,1,1,late majority,3,4,4,4,5,5,4,3,probably will,2,3,3,3,4,4,3,2,0,0,0,0,0,0,0,0,3,0
5,regular residence,2,male,38,4,4,4,3,3,3,3,4,innovators,4,4,4,3,5,5,5,3,likely to,3,3,3,2,4,4,4,2,3,3,3,2,2,2,2,3,3.125,2.5
6,regular residence,2,male,51,1,1,1,1,1,1,1,1,early adopters,5,5,3,2,5,5,5,4,definitely going to,4,4,2,1,4,4,4,3,0,0,0,0,0,0,0,0,3.25,0
7,regular residence,2,female,19,1,2,2,2,2,2,2,1,early majority,2,2,3,2,3,4,3,3,definitely not,1,1,2,1,2,3,2,2,0,1,1,1,1,1,1,0,1.75,0.75
8,regular residence,2,male,37,1,1,1,1,1,1,1,1,laggards,4,4,4,4,5,5,5,5,probably will,3,3,3,3,4,4,4,4,0,0,0,0,0,0,0,0,3.5,0
10,regular residence,2,female,62,1,1,2,1,1,1,1,1,late majority,3,4,4,2,4,4,3,3,probably will,2,3,3,1,3,3,2,2,0,0,1,0,0,0,0,0,2.375,0.125
11,regular residence,2,male,44,5,2,2,3,3,2,2,2,early adopters,5,5,5,5,5,5,5,5,probably will,4,4,4,4,4,4,4,4,4,1,1,2,2,1,1,1,4,1.625
